sample_id,scientificName,species,catalogNumber,verbatimLatitude,verbatimLongitude,Day,Month,year,ITD,Head_width,Eye_top,Eye_bottom,Rear_Ocelli_size,Front_Ocelli_Size,Ocelli_distance,Head_Length,Eye_Length,Eye_width,L_Wing_length,R_Wing_length,significance_corrected,Area,Body_Shape_checked,Bio1,Bio4,Bio7,Bio12,Bio14,Bio15,Bio16,Bio19,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
1,Amegilla (Zonamegilla) asserta,asserta,HYM35400,-33.5,151.17,3,12,1946,3.351,4.41,2.403,2.175,0.278,0.309,0.562,0.715,2.634,1.551,3.42,3.392,Non-significant,922904.61,0.395245084,169.5416667,42.85462749,207,961,5,96.27169015,529,151,-0.353352528,0.560766825,-0.374378578,-0.170814573,1.06242178,0.617180334,-0.21287558,-0.263694099,-0.068951168,-0.049921812,-0.002307782
2,Amegilla (Zonamegilla) asserta,asserta,HYM35428,-33.5,151.17,15,12,1956,3.279,4.533,2.418,2.141,0.243,0.28,0.593,0.681,2.68,1.539,3.474,3.511,Non-significant,922904.61,0.384788629,160.0833333,39.90239828,180,1637,10,87.68596493,912,316,-0.184888111,0.26553546,-0.006017567,-0.262725322,0.643800195,0.208263059,0.229750243,-0.207868092,-0.009230587,0.011863231,0.104276796
3,Amegilla (Zonamegilla) asserta,asserta,HYM35440,-33.5,151.17,1,1,1956,3.26,4.421,2.354,2.18,0.236,0.258,0.565,0.545,2.574,1.435,3.427,3.469,Non-significant,922904.61,0.317565942,160.0833333,39.90239828,180,1637,10,87.68596493,912,316,0.206810017,-0.72069437,0.058508459,-0.625840036,0.32586422,0.32221485,0.066412705,-0.135613384,-0.065496175,0.046243241,0.079932072
4,Amegilla (Zonamegilla) asserta,asserta,HYM35443,-33.5,151.17,19,12,1955,3.222,4.431,2.371,2.186,0.233,0.26,0.579,0.604,2.584,1.446,3.423,3.462,Non-significant,922904.61,0.334067816,165.0833333,37.82571509,176,1603,28,62.47119552,697,153,0.161418066,-0.274471687,0.065436746,-0.50715432,0.338921242,0.232758941,0.177126088,-0.163480468,-0.054684757,0.031806235,0.081261068
5,Amegilla (Zonamegilla) asserta,asserta,HYM35459,-33.5,151.17,4,1,1949,3.342,4.441,2.387,2.192,0.229,0.262,0.592,0.662,2.594,1.456,3.581,3.572,Non-significant,922904.61,0.354785176,160.9166667,37.75570229,173,1696,60,60.97274138,612,526,0.037713493,0.123628263,0.152211507,-0.269573226,0.284980619,0.091683033,0.234576845,-0.215231109,-0.056845993,-0.008642625,0.069135446
6,Amegilla (Zonamegilla) asserta,asserta,HYM35462,-33.5,151.17,18,2,1949,3.484,4.818,2.491,2.219,0.226,0.281,0.582,0.609,2.829,1.65,3.693,3.685,Non-significant,922904.61,0.408412618,160.9166667,37.75570229,173,1696,60,60.97274138,612,526,-0.485305136,-0.406129922,0.159021194,-0.241232215,0.446621899,0.163816487,0.600992981,-0.24507117,-0.0221899,-0.005371831,0.171239446
7,Amegilla (Zonamegilla) asserta,asserta,HYM35465,-33.5,151.17,3,3,1954,3.483,4.586,2.404,2.182,0.26,0.277,0.565,0.649,2.739,1.582,3.54,3.537,Non-significant,922904.61,0.39359907,165.25,37.03911221,156,1221,27,83.9601752,570,180,-0.353205311,0.016681798,0.041734946,-0.302462364,0.801706841,0.521828968,0.033570631,-0.180353495,-0.072584778,-0.007808937,0.090284128
8,Amegilla (Zonamegilla) asserta,asserta,HYM35520,-33.5,151.17,31,12,1948,2.893,4.291,2.305,2.089,0.225,0.248,0.571,0.624,2.565,1.453,3.31,3.277,Non-significant,922904.61,0.315086138,160.5833333,37.01398009,191,1134,16,67.10495257,450,247,0.482928725,-0.125194,0.141248565,-0.501685565,0.433517297,0.191194334,0.332451943,-0.137963125,-0.059448511,-0.027438692,0.084811547
9,Amegilla (Zonamegilla) asserta,asserta,HYM35528,-33.5,151.17,22,1,1949,3.107,4.696,2.484,2.237,0.26,0.282,0.609,0.677,2.867,1.574,3.527,3.602,Non-significant,922904.61,0.419457,160.9166667,37.75570229,173,1696,60,60.97274138,612,526,-0.628588591,0.275877292,0.015840629,-0.359925285,0.746836651,0.378003046,0.110027405,-0.049306202,0.006343189,0.036172361,0.096339678
10,Amegilla (Zonamegilla) asserta,asserta,HYM35539,-27.97,153.2,17,11,1955,3.718,4.75,2.547,2.211,0.235,0.289,0.597,0.728,2.829,1.656,3.674,3.672,Non-significant,922904.61,0.441308011,169.0416667,35.66712909,178,2340,19,81.81765813,1176,206,-0.617314719,0.517364995,0.104051342,-0.006447287,0.613000186,0.148859177,0.574527369,-0.310543931,0.050431426,-0.037792349,0.103548101
11,Amegilla (Zonamegilla) asserta,asserta,HYM35553,-34.23,150.98,2,11,1954,3.639,4.694,2.512,2.239,0.241,0.291,0.619,0.696,2.792,1.629,3.744,3.645,Non-significant,922904.61,0.430527594,168,35.60372172,146,1292,24,93.77652309,649,152,-0.651426326,0.324775148,0.051701984,-0.154255759,0.597294079,0.082120759,0.373605873,-0.253383611,-0.038331764,-0.089506853,0.083435526
12,Amegilla (Zonamegilla) asserta,asserta,HYM35621,-26.8,153.13,25,1,1956,3.326,4.644,2.492,2.264,0.232,0.296,0.597,0.564,2.792,1.526,3.565,3.495,Non-significant,922904.61,0.376172278,200.8333333,39.42468206,189,2324,17,82.29347661,1197,261,-0.343303537,-0.638631417,-0.187433191,-0.502608401,0.361571514,0.164144648,0.372025585,-0.081854587,0.010167456,-0.052673795,0.09247612
13,Amegilla (Zonamegilla) asserta,asserta,HYM35682,-33.5,151.17,12,12,1948,3.42,4.585,2.398,2.118,0.231,0.285,0.576,0.71,2.77,1.594,3.509,3.47,Non-significant,922904.61,0.400168989,160.5833333,37.01398009,191,1134,16,67.10495257,450,247,-0.16642451,0.394972476,0.023247925,-0.0397097,0.666804426,0.181507099,0.550509542,-0.204288829,-0.01575349,-0.048142899,0.146763768
14,Amegilla (Zonamegilla) asserta,asserta,HYM35693,-37.82,145.15,22,12,1948,3.299,4.655,2.523,2.275,0.248,0.298,0.646,0.638,2.71,1.571,3.668,3.647,Non-significant,922904.61,0.407141232,130.8333333,34.45306792,179,792,14,55.96849085,308,146,-0.663793303,-0.024001263,-0.122030276,-0.449365039,0.53594763,0.016072891,0.12241739,-0.219386197,-0.053629952,-0.021032564,0.055731237
15,Amegilla (Zonamegilla) asserta,asserta,HYM35694,-27.97,153.2,28,2,1949,3.222,4.416,2.304,2.179,0.248,0.288,0.524,0.641,2.649,1.547,3.399,3.349,Non-significant,922904.61,0.352745949,162,37.52887777,187,2156,22,87.0099825,1142,279,0.059422236,-0.086978716,-0.173529906,-0.197373875,0.747462095,0.582702522,0.192583138,-0.217530055,-0.158043601,-0.040928997,0.061173901
16,Amegilla (Zonamegilla) asserta,asserta,HYM35703,-26.85,151.57,4,12,1948,3.479,4.775,2.484,2.221,0.246,0.266,0.622,0.633,2.851,1.657,3.709,3.652,Non-significant,922904.61,0.423019975,148.0833333,44.18419464,249,849,1,67.4342814,301,167,-0.654035111,-0.110113167,0.287516403,-0.440843754,0.648752257,0.185122359,0.30219797,-0.144169906,-0.07107997,-0.039107127,0.140169982
17,Amegilla (Zonamegilla) asserta,asserta,HYM35718,-27.97,153.2,31,3,1950,3.356,4.621,2.549,2.257,0.246,0.291,0.637,0.607,2.745,1.596,3.597,3.594,Non-significant,922904.61,0.398312945,165.25,29.78918987,160,2895,46,72.79263821,1236,881,-0.603561369,-0.256913505,-0.07540791,-0.571765172,0.570291139,0.075184536,0.203159546,-0.197496982,-0.007094455,-0.018669252,0.018995846
18,Amegilla (Zonamegilla) asserta,asserta,HYM35916,-26.85,151.57,17,1,1955,3.552,4.745,2.477,2.322,0.26,0.297,0.587,0.695,2.82,1.651,3.791,3.816,Non-significant,922904.61,0.436877844,154.0416667,42.51345784,234,1229,13,62.01570014,466,98,-0.871272116,0.295682115,0.029877642,-0.030387318,0.714658259,0.404186409,0.119454102,-0.266127581,-0.141319501,0.008575362,0.044834048
19,Amegilla (Zonamegilla) asserta,asserta,HYM35920,-27.97,153.2,7,3,1953,3.37,4.527,2.392,2.189,0.231,0.294,0.582,0.691,2.677,1.522,3.658,3.515,Non-significant,922904.61,0.386048368,165.625,35.66401373,204,1978,4,112.8593993,1396,135,-0.172651273,0.262308159,-0.08833421,-0.024069315,0.461166555,0.109757093,0.36523691,-0.237198716,-0.073048112,-0.10890135,0.106849106
20,Amegilla (Zonamegilla) asserta,asserta,K.290900,-31.91667,149.31667,9,1,2007,3.391,4.498,2.484,2.166,0.27,0.294,0.549,0.514,2.705,1.583,3.61,3.659,Non-significant,922904.61,0.363030427,170.6363636,53.82255818,268,619,1,58.0860302,241,154,-0.476356935,-1.022914932,-0.131116529,-0.530861347,0.812849146,0.607517624,-0.267066131,-0.218406812,0.016245276,0.029468896,-0.039309029
21,Amegilla (Zonamegilla) asserta,asserta,K.290911,-33.33333,148.98333,10,11,2002,3.705,4.61,2.44,2.245,0.243,0.269,0.619,0.569,2.777,1.596,3.613,3.604,Non-significant,922904.61,0.380853605,119.4583333,53.21710969,276,679,2,85.31958166,338,82,-0.436219627,-0.558437801,0.147939049,-0.625311865,0.533767839,0.163315802,0.203925003,-0.093416271,-0.120388978,0.00266839,0.059689546
22,Amegilla (Zonamegilla) asserta,asserta,K.290932,-30.795,152.45861,11,4,2007,3.551,4.57,2.503,2.174,0.21,0.249,0.564,0.685,2.713,1.621,3.564,3.574,Non-significant,922904.61,0.382942665,182.0454545,37.35240928,201,1094,16,57.86307632,332,150,-0.026498915,0.17857483,0.417076055,-0.144156109,0.330291585,0.130280133,0.838308655,-0.380180472,0.05154046,-0.032695025,0.057046705
23,Amegilla (Zonamegilla) asserta,asserta,K.290933,-30.795,152.45861,11,4,2007,3.369,4.65,2.616,2.218,0.235,0.252,0.642,0.634,2.819,1.602,3.614,3.653,Non-significant,922904.61,0.406154123,182.0454545,37.35240928,201,1094,16,57.86307632,332,150,-0.528644541,-0.04720039,0.364431287,-0.604063695,0.438432899,0.032996851,0.407361149,-0.166635464,0.130366317,-0.008253674,0.02069594
24,Amegilla (Zonamegilla) asserta,asserta,K.290936,-34.59167,150.60833,18,12,2006,3.282,4.454,2.324,2.176,0.23,0.267,0.53,0.582,2.719,1.492,3.592,3.618,Non-significant,922904.61,0.33640093,129.4166667,42.18156851,194,1031,10,64.89432801,382,379,0.078475341,-0.586401246,0.141032981,-0.192221876,0.352946962,0.389824863,0.273203452,-0.112006802,-0.083452214,0.028179477,0.063733087
